ticker,date,title,content,source,url,sentiment_score,sentiment_label
SPY,2025-12-12,Corebridge Financial Set to Join S & P MidCap 400,Corebridge Financial Set to Join S & P MidCap 400,marketscreener.com,https://www.marketscreener.com/news/corebridge-financial-set-to-join-s-p-midcap-400-ce7d50d8dd8bfe20,0.34891896032691,positive
SPY,2025-12-12,"Catalyst Watch : Economic data flurry , Micron earnings , and triple - witching day ( SPY ) ","Catalyst Watch : Economic data flurry , Micron earnings , and triple - witching day ( SPY ) ",seekingalpha.com,https://seekingalpha.com/news/4531083-catalyst-watch-economic-data-flurry-micron-earnings-and-triple-witching-day,-0.024571538902819157,neutral
SPY,2025-12-12,"Post Fed Cut , This Popular S & P 500 ETF Is Not a Buy or Sell , But a  Married Put . How to Create One . ","Post Fed Cut , This Popular S & P 500 ETF Is Not a Buy or Sell , But a  Married Put . How to Create One . ",finance.yahoo.com,https://finance.yahoo.com/news/post-fed-cut-popular-p-140002401.html,0.45139673448354006,positive
SPY,2025-12-12,"Rush Hour : Rupee sinks to record low of 90 . 5 , four DGCA officials removed after IndiGo crisis & more","Rush Hour : Rupee sinks to record low of 90 . 5 , four DGCA officials removed after IndiGo crisis & more",scroll.in,https://scroll.in/latest/1089270/rush-hour-rupee-sinks-to-record-low-of-90-5-four-dgca-officials-removed-after-indigo-crisis-more,-0.9449512849383056,negative
SPY,2025-12-12,Wall Street slides to session lows as AI trade takes a hammering ( SP500 :) ,Wall Street slides to session lows as AI trade takes a hammering ( SP500 :) ,seekingalpha.com,https://seekingalpha.com/news/4531055-wall-street-slides-to-session-lows-as-ai-trade-takes-a-hammering,-0.1366158159080893,negative
SPY,2025-12-12,航天板块涨停热度依旧 ！ 美国缺电问题引爆电网板块涨停潮 道达涨停复盘,航天板块涨停热度依旧 ！ 美国缺电问题引爆电网板块涨停潮 道达涨停复盘,baijiahao.baidu.com,https://baijiahao.baidu.com/s?id=1851291742232920655,0.029935097321867943,neutral
SPY,2025-12-12,"लॉर्जकैप स्टॉक्स के लौटने वाले हैं अच्छे दिन , इन 10 स्टॉक्स पर लगा सकते हैं दांव","लॉर्जकैप स्टॉक्स के लौटने वाले हैं अच्छे दिन , इन 10 स्टॉक्स पर लगा सकते हैं दांव",hindi.moneycontrol.com,https://hindi.moneycontrol.com/news/markets/largecap-stocks-are-ready-for-a-comeback-invest-in-these-10-largecap-stocks-for-decent-return-2309805.html,0.16392047237604856,positive
SPY,2025-12-12,3 High - Powered ETFs That Have Doubled in Value in Just 3 Years,3 High - Powered ETFs That Have Doubled in Value in Just 3 Years,finance.yahoo.com,https://finance.yahoo.com/news/3-high-powered-etfs-doubled-145400593.html,0.7720699193060399,positive
SPY,2025-12-12,  华尔街神算子  谈明年美股走势 ： 美联储助力牛市 还能再涨超10 %！ _ 东方财富网,  华尔街神算子  谈明年美股走势 ： 美联储助力牛市 还能再涨超10 %！ _ 东方财富网,finance.eastmoney.com,https://finance.eastmoney.com/a/202512123590138680.html,0.03347119316458702,neutral
SPY,2025-12-12,ดาวโจนส์พุ่งนิวไฮ สวนทาง S & P 500 / Nasdaq ร่วง,ดาวโจนส์พุ่งนิวไฮ สวนทาง S & P 500 / Nasdaq ร่วง,ryt9.com,https://www.ryt9.com/s/iq18/12773400,0.11400230973958969,positive
SPY,2025-12-12,ดาวโจนส์ฟิวเจอร์บวก ส่งสัญญาณไปต่อคืนนี้,ดาวโจนส์ฟิวเจอร์บวก ส่งสัญญาณไปต่อคืนนี้,ryt9.com,https://www.ryt9.com/s/iq18/12773358,-0.004488946869969368,neutral
SPY,2025-12-12,"REE Energy quay lại gom SP2 , muốn nâng sở hữu lên gần 35 % vốn","REE Energy quay lại gom SP2 , muốn nâng sở hữu lên gần 35 % vốn",vietstock.vn,https://vietstock.vn/2025/12/ree-energy-quay-lai-gom-sp2-muon-nang-so-huu-len-gan-35-von-739-1380654.htm,0.35584450841248033,positive
SPY,2025-12-12,"AI investment surge to accelerate in 2026 , offsetting tariff Impact on US economy : Fitch Ratings","AI investment surge to accelerate in 2026 , offsetting tariff Impact on US economy : Fitch Ratings",aninews.in,https://aninews.in/news/business/ai-investment-surge-to-accelerate-in-2026-offsetting-tariff-impact-on-us-economy-fitch-ratings20251212144830/,0.45631673466414213,positive
SPY,2025-12-12,"AI investment surge to accelerate in 2026 , offsetting tariff Impact on US economy : Fitch Ratings","AI investment surge to accelerate in 2026 , offsetting tariff Impact on US economy : Fitch Ratings",news.webindia123.com,https://news.webindia123.com/news/Articles/Business/20251212/4393758.html,0.45631673466414213,positive
SPY,2025-12-12,ABDnin ticari ham petrol stokları yaklaşık 1 milyon 800 bin varil azaldı,ABDnin ticari ham petrol stokları yaklaşık 1 milyon 800 bin varil azaldı,haberler.com,https://www.haberler.com/ekonomi/abd-nin-ticari-ham-petrol-stoklari-dususte-19345156-haberi/,0.044605927541852,neutral
