ticker,date,title,content,source,url,vader_score,vader_label,finbert_score,finbert_label,combined_score,combined_label
TAN,2025-12-12,Promising Solar Stocks To Follow Now – December 12th,Promising Solar Stocks To Follow Now – December 12th,dailypolitical.com,https://www.dailypolitical.com/2025/12/12/promising-solar-stocks-to-follow-now-december-12th.html,0.7964,positive,0.07729082647711039,neutral,0.4368454132385552,positive
TAN,2025-12-12,Araştırma : Yapay zekâ iklim kriziyle mücadele edebilir,Araştırma : Yapay zekâ iklim kriziyle mücadele edebilir,dunya.com,https://www.dunya.com/dunya-hashtag/arastirma-yapay-zeka-iklim-kriziyle-mucadele-edebilir-haberi-807214,0.0,neutral,0.009372459724545479,neutral,0.004686229862272739,neutral
TAN,2025-12-12,На Ставрополье появится 35 тысяч солнечных панелей | Ставропольский край,На Ставрополье появится 35 тысяч солнечных панелей | Ставропольский край,fedpress.ru,https://fedpress.ru/news/26/economy/3416387,0.0,neutral,0.3349136561155319,neutral,0.16745682805776596,positive
TAN,2025-12-12,Emlékérmét bocsát ki a jegybank,Emlékérmét bocsát ki a jegybank,magyarhirlap.hu,https://magyarhirlap.hu/kronika/20251212-emlekermet-bocsat-ki-a-jegybank,0.0,neutral,0.0410083644092083,neutral,0.02050418220460415,neutral
TAN,2025-12-12,Забудьте о кремнии или перовските : стеклянные солнечные панели производят до 400 кВт энергии,Забудьте о кремнии или перовските : стеклянные солнечные панели производят до 400 кВт энергии,focus.ua,https://focus.ua/digital/736721-zabudte-o-kremnii-ili-perovskite-steklyannye-solnechnye-paneli-proizvodyat-do-400-kvt-energii,0.0,neutral,0.14401200041174889,neutral,0.07200600020587444,positive
TAN,2025-12-12,PV Austria begrt ElWG - Kompromiss : Keine Netzentgelte für Photovoltaik - Anlagen bis 20 Kilowatt,PV Austria begrt ElWG - Kompromiss : Keine Netzentgelte für Photovoltaik - Anlagen bis 20 Kilowatt,finanznachrichten.de,https://www.finanznachrichten.de/nachrichten-2025-12/67218491-pv-austria-begruesst-elwg-kompromiss-keine-netzentgelte-fuer-photovoltaik-anlagen-bis-20-kilowatt-032.htm,0.0,neutral,0.039880141615867615,neutral,0.019940070807933807,neutral
TAN,2025-12-12, [ 快讯 ] 波长光电 : 华泰联合证券有限责任公司南京波长光电科技股份有限公司部分募投项目结项并将节余募集资金永久补充流动资金的核查意见 - CFi . CN 中财网, [ 快讯 ] 波长光电 : 华泰联合证券有限责任公司南京波长光电科技股份有限公司部分募投项目结项并将节余募集资金永久补充流动资金的核查意见 - CFi . CN 中财网,cfi.net.cn,http://www.cfi.net.cn/p20251212000568.html,0.0,neutral,0.06473924405872822,neutral,0.03236962202936411,neutral
TAN,2025-12-12,В Нефтекумском округе построят солнечную электростанцию,В Нефтекумском округе построят солнечную электростанцию,stapravda.ru,https://www.stapravda.ru/20251212/v_neftekumskom_okruge_postroyat_solnechnuyu_elektrostantsiyu_240147.html,0.0,neutral,0.4023330844938755,neutral,0.20116654224693775,positive
TAN,2025-12-12,Župan Kolar tvrdi : Ne skrivam nalaz Ministarstva o lokacijskim dozvolama za solarne elektrane,Župan Kolar tvrdi : Ne skrivam nalaz Ministarstva o lokacijskim dozvolama za solarne elektrane,24sata.hr,https://www.24sata.hr/news/zupan-kolar-tvrdi-ne-skrivam-nalaz-ministarstva-o-lokacijskim-dozvolama-za-solarne-elektrane-1094607,0.0,neutral,0.04412997327744961,neutral,0.022064986638724804,neutral
TAN,2025-12-12,HDZ : SDP - ovi amandmani imaju za cilj skrenuti pažnju s njihove afere sa solarima,HDZ : SDP - ovi amandmani imaju za cilj skrenuti pažnju s njihove afere sa solarima,index.hr,https://www.index.hr/vijesti/clanak/hdz-sdpovi-amandmani-imaju-za-cilj-skrenuti-paznju-s-njihove-afere-sa-solarima/2739907.aspx?index_tid=859443&index_ref=naslovnica_vijesti_najnovije_d,0.0,neutral,0.03538347966969013,neutral,0.017691739834845066,neutral
